O + 6         8         7       5963164.(  )
    1 1S2               (1)0( 0.0)               0.0000
    2 1S1 2S1           (3)0( 1.0)         4526946.7472
    3 1S1 2P1           (3)1( 0.0)         4587887.8205
    4 1S1 2P1           (3)1( 1.0)         4588243.3693
    5 1S1 2P1           (3)1( 2.0)         4588974.2197
    6 1S1 2S1           (1)0( 0.0)         4594943.4899
    7 1S1 2P1           (1)1( 1.0)         4636123.9481
    8 1S1 3S1           (3)0( 1.0)         5343184.1973
    9 1S1 3P1           (3)1( 0.0)         5359515.7412
   10 1S1 3P1           (3)1( 1.0)         5359614.5048
   11 1S1 3P1           (3)1( 2.0)         5359815.9825
   12 1S1 3S1           (1)0( 0.0)         5360831.2720
   13 1S1 3D1           (3)2( 1.0)         5368692.8522
   14 1S1 3D1           (3)2( 2.0)         5368728.4071
   15 1S1 3D1           (3)2( 3.0)         5368791.6157
   16 1S1 3D1           (1)2( 2.0)         5369320.9885
   17 1S1 3P1           (1)1( 1.0)         5372722.4058
   -1
 7.00    3       9.80+03 2.45+04 4.90+04 9.80+04 2.45+05 4.90+05 9.80+05 2.45+06 4.90+06 9.80+06 2.45+07 4.90+07 9.80+07
   6   3 1.00-30 3.84-02 2.42-02 1.76-02 1.38-02 1.33-02 1.33-02 1.12-02 7.08-03 4.41-03 2.56-03 1.17-03 6.19-04 3.22-04 0.00+00
   7   3 2.24-01 4.70-02 4.77-02 4.71-02 4.92-02 6.09-02 6.42-02 5.55-02 3.62-02 2.35-02 1.44-02 7.09-03 4.01-03 2.23-03 0.00+00
   8   3 2.11+09 1.88-01 1.38-01 9.18-02 5.67-02 2.99-02 1.95-02 1.40-02 1.17-02 1.25-02 1.51-02 2.06-02 2.58-02 3.16-02-9.66-03
   9   3 1.00-30 1.12-01 8.83-02 7.55-02 6.81-02 6.43-02 6.44-02 6.64-02 7.07-02 7.44-02 7.77-02 8.09-02 8.25-02 8.35-02 8.49-02
  10   3 4.31-01 4.30-02 2.90-02 2.16-02 1.69-02 1.29-02 1.04-02 8.20-03 5.45-03 3.72-03 2.39-03 1.24-03 7.21-04 4.08-04 0.00+00
  11   3 5.30+05 3.33-02 2.53-02 2.11-02 1.84-02 1.62-02 1.50-02 1.42-02 1.39-02 1.43-02 1.51-02 1.63-02 1.69-02 1.74-02 1.81-02
  12   3 1.00-30 1.03-02 7.59-03 5.65-03 4.30-03 3.10-03 2.40-03 1.77-03 1.07-03 6.71-04 3.95-04 1.82-04 9.72-05 5.08-05 0.00+00
  13   3 8.93+10 2.27-01 2.35-01 2.40-01 2.49-01 2.70-01 3.00-01 3.50-01 4.60-01 5.84-01 7.42-01 9.93-01 1.21+00 1.44+00-3.70-01
  14   3 3.45+01 2.93-02 2.95-02 2.91-02 2.81-02 2.53-02 2.17-02 1.71-02 1.09-02 7.00-03 4.19-03 1.97-03 1.06-03 5.62-04 0.00+00
  15   3 3.37+01 2.55-02 2.55-02 2.53-02 2.48-02 2.35-02 2.20-02 2.03-02 1.85-02 1.79-02 1.78-02 1.83-02 1.87-02 1.91-02 1.99-02
  16   3 1.34+02 2.64-02 2.56-02 2.49-02 2.38-02 2.13-02 1.81-02 1.42-02 8.85-03 5.60-03 3.29-03 1.51-03 8.01-04 4.16-04 0.00+00
  17   3 1.05+00 1.02-02 1.01-02 9.92-03 9.55-03 8.60-03 7.43-03 5.94-03 3.85-03 2.50-03 1.51-03 7.07-04 3.81-04 2.00-04 0.00+00
   5   4 5.25-03 4.83-01 4.77-01 4.61-01 4.50-01 4.92-01 5.15-01 4.78-01 3.83-01 3.19-01 2.74-01 2.38-01 2.22-01 2.13-01 2.01-01
   6   4 3.59+01 1.17-01 7.36-02 5.35-02 4.20-02 4.03-02 4.04-02 3.44-02 2.20-02 1.40-02 8.60-03 4.56-03 3.06-03 2.30-03-7.86-05
   7   4 1.65-01 1.41-01 1.43-01 1.41-01 1.47-01 1.82-01 1.92-01 1.67-01 1.09-01 7.07-02 4.34-02 2.15-02 1.23-02 6.93-03 6.82-05
   8   4 6.35+09 5.48-01 4.23-01 2.82-01 1.73-01 9.06-02 5.89-02 4.24-02 3.51-02 3.77-02 4.56-02 6.22-02 7.79-02 9.53-02-2.91-02
   9   4 1.29+00 3.99-02 2.85-02 2.16-02 1.69-02 1.29-02 1.05-02 8.20-03 5.45-03 3.72-03 2.39-03 1.24-03 7.21-04 4.08-04 0.00+00
  10   4 6.63+05 2.68-01 2.34-01 2.18-01 2.09-01 2.06-01 2.08-01 2.14-01 2.26-01 2.37-01 2.47-01 2.56-01 2.61-01 2.64-01 2.69-01
  11   4 1.19+06 1.03-01 7.94-02 6.69-02 5.85-02 5.09-02 4.61-02 4.19-02 3.80-02 3.69-02 3.71-02 3.82-02 3.91-02 3.97-02 4.08-02
  12   4 1.41+06 2.95-02 2.19-02 1.65-02 1.26-02 9.19-03 7.14-03 5.28-03 3.20-03 2.01-03 1.19-03 5.73-04 3.37-04 2.12-04-2.02-06
  13   4 6.69+10 2.11-01 2.16-01 2.20-01 2.25-01 2.37-01 2.55-01 2.86-01 3.61-01 4.48-01 5.63-01 7.49-01 9.09-01 1.08+00-2.78-01
